trial,label,lift_start,lift_end,duration
1,schwer,1777200578.9442,1777200580.0949,1.1506
2,schwer,1777200585.8682,1777200587.2942,1.426
3,schwer,1777200592.6462,1777200593.5453,0.8991
4,leicht,1777200598.7183,1777200600.2455,1.5272
5,schwer,1777200605.2715,1777200606.6941,1.4226
6,schwer,1777200611.244,1777200612.6446,1.4005
7,leicht,1777200617.1192,1777200618.4705,1.3513
8,leicht,1777200623.0961,1777200624.3207,1.2246
9,schwer,1777200628.7441,1777200630.1203,1.3763
10,leicht,1777200634.694,1777200635.7201,1.0261
11,leicht,1777200640.8699,1777200642.1208,1.2509
12,schwer,1777200647.07,1777200648.8191,1.749
13,leicht,1777200653.7218,1777200655.0949,1.3731
14,leicht,1777200660.02,1777200661.2455,1.2255
15,leicht,1777200666.0718,1777200667.6212,1.5494
16,schwer,1777200672.1213,1777200673.2691,1.1478
17,leicht,1777200678.2442,1777200679.4204,1.1762
18,leicht,1777200684.9191,1777200686.1697,1.2506
19,schwer,1777200691.3195,1777200692.6193,1.2998
20,schwer,1777200697.6945,1777200698.9954,1.3009
21,leicht,1777200704.6454,1777200705.8956,1.2502
22,schwer,1777200711.1699,1777200712.2691,1.0992
23,schwer,1777200717.0947,1777200718.5448,1.4501
24,leicht,1777200723.1446,1777200724.4459,1.3013
25,schwer,1777200729.6956,1777200730.9946,1.299
26,schwer,1777200735.9457,1777200737.1707,1.225
27,schwer,1777200741.7947,1777200742.9469,1.1522
28,schwer,1777200747.9722,1777200749.1962,1.224
29,schwer,1777200753.7952,1777200755.2716,1.4764
30,leicht,1777200759.4948,1777200759.6956,0.2008
